"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Count
"75549xF"	"500xF"	"FxFxT"	930270
"75549xF"	"500xF"	"FxFxT"	931659
"75549xF"	"500xF"	"FxFxT"	934661
"75549xF"	"500xF"	"FxFxT"	935187
"75549xF"	"500xF"	"FxFxT"	933151
"1313xF"	"5x32"	"FxFxT"	6767
"1313xF"	"5x32"	"FxFxT"	6925
"1313xF"	"5x32"	"FxFxT"	6126
"1313xF"	"5x32"	"FxFxT"	7178
"1313xF"	"5x32"	"FxFxT"	6287
"105897xF"	"TxF"	"FxFxT"	1635971
"105897xF"	"TxF"	"FxFxT"	1635500
"105897xF"	"TxF"	"FxFxT"	1635604
"105897xF"	"TxF"	"FxFxT"	1635471
"105897xF"	"TxF"	"FxFxT"	1635891
"88xF"	"5x16"	"TxFxT"	348
"88xF"	"5x16"	"TxFxT"	404
"88xF"	"5x16"	"TxFxT"	372
"88xF"	"5x16"	"TxFxT"	421
"88xF"	"5x16"	"TxFxT"	294
"5070xF"	"2x8"	"TxFxT"	17504
"5070xF"	"2x8"	"TxFxT"	20296
"5070xF"	"2x8"	"TxFxT"	10142
"5070xF"	"2x8"	"TxFxT"	20281
"5070xF"	"2x8"	"TxFxT"	17151
"53898xF"	"10x16"	"TxFxT"	283112
"53898xF"	"10x16"	"TxFxT"	342613
"53898xF"	"10x16"	"TxFxT"	312434
"53898xF"	"10x16"	"TxFxT"	317938
"53898xF"	"10x16"	"TxFxT"	293018
"1578085xF"	"500xF"	"TxFxT"	23224661
"1578085xF"	"500xF"	"TxFxT"	23243337
"1578085xF"	"500xF"	"TxFxT"	23208926
"1578085xF"	"500xF"	"TxFxT"	23178023
"1578085xF"	"500xF"	"TxFxT"	23325122
"1125835xF"	"1000x8"	"TxFxT"	13268794
"1125835xF"	"1000x8"	"TxFxT"	13244119
"1125835xF"	"1000x8"	"TxFxT"	13202370
"1125835xF"	"1000x8"	"TxFxT"	13252583
"1125835xF"	"1000x8"	"TxFxT"	13273232
"6091903xF"	"500x8"	"TxFxT"	67413795
"6091903xF"	"500x8"	"TxFxT"	67581078
"6091903xF"	"500x8"	"TxFxT"	67873745
"6091903xF"	"500x8"	"TxFxT"	67914281
"6091903xF"	"500x8"	"TxFxT"	67736730
"937xF"	"10x8"	"FxFxT"	4903
"937xF"	"10x8"	"FxFxT"	4672
"937xF"	"10x8"	"FxFxT"	5670
"937xF"	"10x8"	"FxFxT"	5030
"937xF"	"10x8"	"FxFxT"	4461
"173xF"	"2x32"	"TxFxT"	568
"173xF"	"2x32"	"TxFxT"	548
"173xF"	"2x32"	"TxFxT"	531
"173xF"	"2x32"	"TxFxT"	740
"173xF"	"2x32"	"TxFxT"	567
"340xF"	"50xF"	"FxFxT"	2256
"340xF"	"50xF"	"FxFxT"	2227
