Shuffle	Limit	      Count	 SD
None	8            -2.77266    0.02284
None	16           -2.45345    0.02293
None	32           -2.14230    0.02289
None	Never        -0.55217    0.02289
1	8            -2.00956    0.02287
1	16           -1.74794    0.02287
1	32           -1.60388    0.02297
1	Never        -0.47336    0.02290
2	8            -1.66711    0.02291
2	16           -1.49568    0.02290
2	32           -1.33358    0.02293
2	Never        -0.43864    0.02284
5	8            -1.23377    0.02289
5	16           -1.13440    0.02290
5	32           -0.99079    0.02292
5	Never        -0.32685    0.02288
10	8            -0.93251    0.02290
10	16           -0.80953    0.02290
10	32           -0.76347    0.02289
10	Never        -0.19175    0.02291
50	8            -0.45404    0.02294
50	16           -0.39095    0.02292
50	32           -0.34565    0.02291
50	Never        -0.07589    0.02297
100	8            -0.28721    0.02287
100	16           -0.28341    0.02295
100	32           -0.22645    0.02292
100	Never         0.00274    0.02285
500	8            -0.04943    0.02297
500	16           -0.05972    0.02289
500	32           -0.00524    0.02300
500	Never         0.08058    0.02289
1000	8             0.01314    0.02292
1000	32            0.03228    0.02289
1000	Never         0.11563    0.02289
Full	8             0.28793    0.02285
Full	16            0.38764    0.02295
Full	32            0.34931    0.02293
Full	Never         0.26329    0.02294
