Size	      Count	  SD
32             7.20776    0.02279
45             7.98704    0.02276
63             8.52335    0.02243
88             9.15876    0.02280
124            9.70051    0.02319
173           10.27600    0.02277
243           10.80918    0.02297
340           11.33626    0.02281
477           11.94514    0.02302
668           12.44945    0.02264
937           13.02244    0.02300
1313          13.52596    0.02301
1841          14.07491    0.02317
2580          14.54015    0.02261
3617          15.10552    0.02281
5070          15.55329    0.02319
7106          16.07799    0.02302
9961          16.54357    0.02299
13962         17.12041    0.02302
19571         17.55647    0.02300
27432         18.04846    0.02296
38452         18.57821    0.02326
53898         19.13399    0.02298
75549         19.66340    0.02241
105897        20.17152    0.02301
148437        20.64737    0.02321
208064        21.16168    0.02279
291643        21.57238    0.02280
408797        22.15641    0.02301
573012        22.60392    0.02283
803192        23.09365    0.02279
1125835       23.57374    0.02300
1578085       24.04544    0.02323
2212005       24.62220    0.02297
3100571       25.08758    0.02281
4346076       25.58890    0.02300
6091903       26.10303    0.02281
8539032       26.45414    0.02299
11969176      27.07099    0.02280
16777216      27.58729    0.02240
