"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Cycles
"898885x10"	"Fx16"	"CMOVxFxT"	34022216
"898885x10"	"Fx16"	"CMOVxFxT"	34150520
"898885x10"	"Fx16"	"CMOVxFxT"	34079072
"898885x10"	"Fx16"	"CMOVxFxT"	34056248
"898885x10"	"Fx16"	"CMOVxFxT"	34067724
"11148xT"	"1000x8"	"CMOVxFxF"	3497672
"11148xT"	"1000x8"	"CMOVxFxF"	3633328
"11148xT"	"1000x8"	"CMOVxFxF"	3491004
"11148xT"	"1000x8"	"CMOVxFxF"	3491832
"11148xT"	"1000x8"	"CMOVxFxF"	3492396
"16777216x10"	"10x8"	"CMOVxTxT"	1140983164
"16777216x10"	"10x8"	"CMOVxTxT"	1142379200
"16777216x10"	"10x8"	"CMOVxTxT"	1151467108
"16777216x10"	"10x8"	"CMOVxTxT"	1180814104
"16777216x10"	"10x8"	"CMOVxTxT"	1080079856
"16777216xF"	"100x8"	"FxTxF"	3691963480
"16777216xF"	"100x8"	"FxTxF"	3676293840
"16777216xF"	"100x8"	"FxTxF"	3714577992
"16777216xF"	"100x8"	"FxTxF"	3765674308
"16777216xF"	"100x8"	"FxTxF"	3696545328
"597xF"	"10x16"	"FxTxT"	53960
"597xF"	"10x16"	"FxTxT"	56596
"597xF"	"10x16"	"FxTxT"	53872
"597xF"	"10x16"	"FxTxT"	54172
"597xF"	"10x16"	"FxTxT"	55284
"11148x10"	"1000x32"	"TxTxT"	1701364
"11148x10"	"1000x32"	"TxTxT"	1689996
"11148x10"	"1000x32"	"TxTxT"	1706748
"11148x10"	"1000x32"	"TxTxT"	1690712
"11148x10"	"1000x32"	"TxTxT"	1699184
"898885x10"	"1x16"	"TxTxT"	38329032
"898885x10"	"1x16"	"TxTxT"	32837248
"898885x10"	"1x16"	"TxTxT"	37947556
"898885x10"	"1x16"	"TxTxT"	42303508
"898885x10"	"1x16"	"TxTxT"	41124740
"208064x10"	"50x32"	"CMOVxTxF"	41312276
"208064x10"	"50x32"	"CMOVxTxF"	41735428
"208064x10"	"50x32"	"CMOVxTxF"	41702664
"208064x10"	"50x32"	"CMOVxTxF"	41085404
"208064x10"	"50x32"	"CMOVxTxF"	42651500
"597x500"	"500x16"	"TxTxT"	106432
"597x500"	"500x16"	"TxTxT"	106616
"597x500"	"500x16"	"TxTxT"	105160
"597x500"	"500x16"	"TxTxT"	121192
"597x500"	"500x16"	"TxTxT"	105492
"48160xT"	"2xF"	"FxTxF"	18640944
"48160xT"	"2xF"	"FxTxF"	18390596
"48160xT"	"2xF"	"FxTxF"	18674544
"48160xT"	"2xF"	"FxTxF"	18099996
"48160xT"	"2xF"	"FxTxF"	19663864
"208064xF"	"50x8"	"CMOVxTxT"	16829584
"208064xF"	"50x8"	"CMOVxTxT"	16956304
"208064xF"	"50x8"	"CMOVxTxT"	16925824
"208064xF"	"50x8"	"CMOVxTxT"	16695700
"208064xF"	"50x8"	"CMOVxTxT"	17199500
"898885x500"	"1000xF"	"CMOVxFxF"	317137312
"898885x500"	"1000xF"	"CMOVxFxF"	317176312
"898885x500"	"1000xF"	"CMOVxFxF"	318854852
"898885x500"	"1000xF"	"CMOVxFxF"	317806000
"898885x500"	"1000xF"	"CMOVxFxF"	323210680
"208064x10"	"5x32"	"FxTxF"	34067192
"208064x10"	"5x32"	"FxTxF"	36784336
