Shuffle Limit         Cycles     SD
None	8            -2.13508    0.02287
None	16           -1.87832    0.02285
None	32           -1.71007    0.02284
None	Never        -0.64569    0.02286
1	8            -1.60291    0.02286
1	16           -1.48993    0.02284
1	32           -1.39072    0.02282
1	Never        -0.55361    0.02284
2	8            -1.44064    0.02283
2	16           -1.27655    0.02287
2	32           -1.21146    0.02285
2	Never        -0.55295    0.02287
5	8            -1.09660    0.02287
5	16           -1.01742    0.02284
5	32           -0.93842    0.02285
5	Never        -0.45761    0.02283
10	8            -0.84621    0.02287
10	16           -0.80352    0.02287
10	32           -0.73289    0.02284
10	Never        -0.38222    0.02285
50	8            -0.49277    0.02286
50	16           -0.44948    0.02286
50	32           -0.39729    0.02285
50	Never        -0.19453    0.02286
100	8            -0.33741    0.02289
100	16           -0.32902    0.02285
100	32           -0.30657    0.02281
100	Never        -0.11149    0.02286
500	8            -0.11875    0.02287
500	16           -0.10816    0.02285
500	32           -0.08507    0.02285
500	Never         0.00865    0.02286
1000	8            -0.03516    0.02287
1000	32           -0.02096    0.02284
1000	Never         0.06673    0.02283
Full	8             0.71362    0.02286
Full	16            0.78102    0.02284
Full	32            0.76039    0.02284
Full	Never         0.84590    0.02284
