Size     Scatter   Cycles      SD
32 	 10        12.60101    0.02431
32	 500       12.65034    0.02414
32	 None      12.57545    0.02431
32	 Full      12.64220    0.02423
138	 10        14.76927    0.02422
138	 500       14.81878    0.02433
138	 None      14.76646    0.02440
138	 Full      14.86926    0.02441
597	 10        16.94459    0.02423
597	 500       17.01133    0.02405
597	 None      16.92096    0.02422
597  	 Full      16.98244    0.02451
2580	 10        19.07527    0.02415
2580	 500       19.13047    0.02413
2580	 None      19.07260    0.02423
2580 	 Full      19.19085    0.02432
11148	 10        21.14983    0.02431
11148	 500       21.30288    0.02396
11148	 None      21.17385    0.02432
11148	 Full      21.64323    0.02433
48160	 10        23.37221    0.02414
48160	 500       23.55107    0.02432
48160	 None      23.35388    0.02423
48160	 Full      24.61286    0.02431
208064	 10        25.57952    0.02396
208064	 500       25.69089    0.02413
208064	 None      25.58548    0.02415
208064	 Full      27.30227    0.02414
898885	 10        27.83050    0.02422
898885	 500       27.83356    0.02414
898885	 None      27.77466    0.02413
898885	 Full      30.02311    0.02404
3883400	 10        30.07150    0.02442
3883400	 500       30.00525    0.02423
3883400	 None      30.01437    0.02413
3883400	 Full      33.03877    0.02441
16777216 10        32.12685    0.02422
16777216 500       32.12246    0.02404
16777216 None      32.16609    0.02441
16777216 Full      35.50984    0.02423
