"Size*Scatter"	"Shuffle*Quick"	"Leaf*Cache*BranchMerge"	Cycles
"898885x500"	"1000x8"	"FxFxF"	1998133800
"898885x500"	"1000x8"	"FxFxF"	1991222860
"898885x500"	"1000x8"	"FxFxF"	2005479692
"898885x500"	"1000x8"	"FxFxF"	1995687920
"898885x500"	"1000x8"	"FxFxF"	1997488140
"208064xF"	"1xF"	"CMOVxTxF"	315963424
"208064xF"	"1xF"	"CMOVxTxF"	340507648
"208064xF"	"1xF"	"CMOVxTxF"	354315340
"208064xF"	"1xF"	"CMOVxTxF"	330892528
"208064xF"	"1xF"	"CMOVxTxF"	332514900
"898885x500"	"50x8"	"FxFxT"	1286997332
"898885x500"	"50x8"	"FxFxT"	1259079044
"898885x500"	"50x8"	"FxFxT"	1298288900
"898885x500"	"50x8"	"FxFxT"	1267493996
"898885x500"	"50x8"	"FxFxT"	1282959656
"898885x10"	"1x16"	"TxFxF"	498663296
"898885x10"	"1x16"	"TxFxF"	389889812
"898885x10"	"1x16"	"TxFxF"	486323380
"898885x10"	"1x16"	"TxFxF"	571804036
"898885x10"	"1x16"	"TxFxF"	545664172
"16777216x500"	"1xF"	"TxFxF"	37421696812
"16777216x500"	"1xF"	"TxFxF"	37690257188
"16777216x500"	"1xF"	"TxFxF"	37944898824
"16777216x500"	"1xF"	"TxFxF"	38308680912
"16777216x500"	"1xF"	"TxFxF"	37650237840
"898885x500"	"5x32"	"CMOVxFxF"	781312316
"898885x500"	"5x32"	"CMOVxFxF"	1016157352
"898885x500"	"5x32"	"CMOVxFxF"	780172748
"898885x500"	"5x32"	"CMOVxFxF"	1005214840
"898885x500"	"5x32"	"CMOVxFxF"	913754848
"138x10"	"1000x16"	"FxFxF"	172896
"138x10"	"1000x16"	"FxFxF"	172540
"138x10"	"1000x16"	"FxFxF"	172776
"138x10"	"1000x16"	"FxFxF"	171596
"138x10"	"1000x16"	"FxFxF"	172972
"2580x500"	"1000xF"	"FxTxT"	4473724
"2580x500"	"1000xF"	"FxTxT"	4467960
"2580x500"	"1000xF"	"FxTxT"	4466752
"2580x500"	"1000xF"	"FxTxT"	4432780
"2580x500"	"1000xF"	"FxTxT"	4466292
"208064xT"	"2x32"	"TxFxF"	164962688
"208064xT"	"2x32"	"TxFxF"	242317704
"208064xT"	"2x32"	"TxFxF"	240938280
"208064xT"	"2x32"	"TxFxF"	227253632
"208064xT"	"2x32"	"TxFxF"	173690496
"597xF"	"2xF"	"FxFxT"	535376
"597xF"	"2xF"	"FxFxT"	602200
"597xF"	"2xF"	"FxFxT"	510644
"597xF"	"2xF"	"FxFxT"	543760
"597xF"	"2xF"	"FxFxT"	524556
"208064xF"	"5xF"	"FxFxF"	374119244
"208064xF"	"5xF"	"FxFxF"	388068288
"208064xF"	"5xF"	"FxFxF"	390635204
"208064xF"	"5xF"	"FxFxF"	372036980
"208064xF"	"5xF"	"FxFxF"	389564608
"138x10"	"2xF"	"FxTxT"	93224
"138x10"	"2xF"	"FxTxT"	100300
"138x10"	"2xF"	"FxTxT"	116624
"138x10"	"2xF"	"FxTxT"	102684
"138x10"	"2xF"	"FxTxT"	96608
"16777216x500"	"10x16"	"CMOVxFxF"	16970563048
"16777216x500"	"10x16"	"CMOVxFxF"	16994651956
"16777216x500"	"10x16"	"CMOVxFxF"	17255437188
"16777216x500"	"10x16"	"CMOVxFxF"	18162048536
"16777216x500"	"10x16"	"CMOVxFxF"	15697885164
"16777216xT"	"Tx16"	"TxTxF"	113812750784
"16777216xT"	"Tx16"	"TxTxF"	113811860636
"16777216xT"	"Tx16"	"TxTxF"	114222382648
"16777216xT"	"Tx16"	"TxTxF"	116515807084
"16777216xT"	"Tx16"	"TxTxF"	114563267028
"32xF"	"1x16"	"FxTxT"	18636
"32xF"	"1x16"	"FxTxT"	16948
"32xF"	"1x16"	"FxTxT"	17816
"32xF"	"1x16"	"FxTxT"	18060
"32xF"	"1x16"	"FxTxT"	18396
"2580xT"	"1x32"	"FxTxT"	1926472
"2580xT"	"1x32"	"FxTxT"	1267744
"2580xT"	"1x32"	"FxTxT"	1240800
"2580xT"	"1x32"	"FxTxT"	1404832
"2580xT"	"1x32"	"FxTxT"	1687672
"48160x500"	"1000x16"	"CMOVxTxT"	98347272
"48160x500"	"1000x16"	"CMOVxTxT"	98188564
"48160x500"	"1000x16"	"CMOVxTxT"	97707168
"48160x500"	"1000x16"	"CMOVxTxT"	98187000
"48160x500"	"1000x16"	"CMOVxTxT"	97869260
"32x10"	"100xF"	"TxFxF"	24812
"32x10"	"100xF"	"TxFxF"	23528
"32x10"	"100xF"	"TxFxF"	24296
"32x10"	"100xF"	"TxFxF"	24460
"32x10"	"100xF"	"TxFxF"	24592
"48160x500"	"500x8"	"TxTxF"	91441644
"48160x500"	"500x8"	"TxTxF"	91978284
"48160x500"	"500x8"	"TxTxF"	90948512
"48160x500"	"500x8"	"TxTxF"	90797772
"48160x500"	"500x8"	"TxTxF"	91060184
"11148x500"	"50xF"	"FxTxT"	17901040
"11148x500"	"50xF"	"FxTxT"	17486060
"11148x500"	"50xF"	"FxTxT"	17800628
"11148x500"	"50xF"	"FxTxT"	17293868
"11148x500"	"50xF"	"FxTxT"	17560264
"16777216xT"	"1x32"	"CMOVxFxF"	24630389416
"16777216xT"	"1x32"	"CMOVxFxF"	24527984088
"16777216xT"	"1x32"	"CMOVxFxF"	26836710232
"16777216xT"	"1x32"	"CMOVxFxF"	27450785948
"16777216xT"	"1x32"	"CMOVxFxF"	24991828484
"11148xF"	"10xF"	"FxTxF"	16955708
"11148xF"	"10xF"	"FxTxF"	16125364
"11148xF"	"10xF"	"FxTxF"	16273760
"11148xF"	"10xF"	"FxTxF"	16420324
"11148xF"	"10xF"	"FxTxF"	15764880
"208064xT"	"10x8"	"FxTxT"	254706184
"208064xT"	"10x8"	"FxTxT"	278003980
"208064xT"	"10x8"	"FxTxT"	275144868
"208064xT"	"10x8"	"FxTxT"	240113764
"208064xT"	"10x8"	"FxTxT"	271525508
"597xT"	"2x16"	"CMOVxTxT"	305788
"597xT"	"2x16"	"CMOVxTxT"	410676
"597xT"	"2x16"	"CMOVxTxT"	283472
"597xT"	"2x16"	"CMOVxTxT"	296232
"597xT"	"2x16"	"CMOVxTxT"	268424
"16777216xF"	"2x8"	"FxFxT"	9457157740
"16777216xF"	"2x8"	"FxFxT"	11036929640
"16777216xF"	"2x8"	"FxFxT"	10094419732
"16777216xF"	"2x8"	"FxFxT"	10644274368
"16777216xF"	"2x8"	"FxFxT"	9062666440
"16777216x500"	"Tx8"	"TxTxT"	87286796808
"16777216x500"	"Tx8"	"TxTxT"	87273662680
"16777216x500"	"Tx8"	"TxTxT"	87776817348
"16777216x500"	"Tx8"	"TxTxT"	89077014596
"16777216x500"	"Tx8"	"TxTxT"	87533084964
