Shuffle Limit         Cycles     SD
None	8            -2.52552    0.01607
None	16           -2.20712    0.01606
None	32           -1.92409    0.01606
None	Never        -0.58187    0.01606
1	8            -1.84568    0.01607
1	16           -1.64170    0.01607
1	32           -1.50046    0.01606
1	Never        -0.48014    0.01607
2	8            -1.57864    0.01605
2	16           -1.42027    0.01606
2	32           -1.28811    0.01607
2	Never        -0.44989    0.01605
5	8            -1.11757    0.01605
5	16           -1.01663    0.01606
5	32           -0.94146    0.01606
5	Never        -0.32847    0.01606
10	8            -0.85328    0.01605
10	16           -0.80181    0.01605
10	32           -0.74481    0.01606
10	Never        -0.27377    0.01607
50	8            -0.43402    0.01605
50	16           -0.39700    0.01607
50	32           -0.34201    0.01606
50	Never        -0.10382    0.01608
100	8            -0.31432    0.01604
100	16           -0.26960    0.01607
100	32           -0.24115    0.01607
100	Never        -0.04822    0.01605
500	8            -0.07576    0.01604
500	16           -0.05924    0.01607
500	32           -0.04905    0.01604
500	Never         0.08199    0.01607
1000	8             0.01411    0.01606
1000	32            0.05053    0.01605
1000	Never         0.08044    0.01605
Full	8             0.37298    0.01606
Full	16            0.40945    0.01606
Full	32            0.42602    0.01607
Full	Never         0.38435    0.01606
