Size     Scatter	Cycles	    SD
32	 None           15.05236    0.01703
32	 10             14.96752    0.01684
32	 500            15.01394    0.01677
32	 Full           15.03750    0.01702
138	 10             17.44223    0.01703
138	 500            17.45624    0.01696
138	 None           17.45541    0.01696
138	 Full           17.48772    0.01710
597	 10             19.77451    0.01710
597	 500            19.77030    0.01709
597	 None           19.76793    0.01716
597	 Full           19.79099    0.01696
2580	 10             22.06167    0.01708
2580	 500            22.08333    0.01702
2580	 None           22.07080    0.01703
2580	 Full           22.08522    0.01702
11148	 10             24.24139    0.01702
11148	 500            24.24272    0.01696
11148	 None           24.25536    0.01703
11148	 Full           24.31589    0.01696
48160	 10             26.47103    0.01696
48160	 500            26.47053    0.01696
48160	 None           26.46193    0.01697
48160	 Full           26.65139    0.01702
208064	 10             28.67759    0.01696
208064	 500            28.68254    0.01722
208064	 None           28.67616    0.01696
208064	 Full           28.97790    0.01685
898885	 10             30.80615    0.01703
898885	 500            30.81873    0.01702
898885	 None           30.77682    0.01690
898885	 Full           31.30635    0.01716
3883400	 10             32.98272    0.01715
3883400	 500            32.98866    0.01709
3883400	 None           33.00659    0.01709
3883400	 Full           33.84080    0.01709
16777216 10             35.11713    0.01716
16777216 500            35.16347    0.01716
16777216 None           35.07948    0.01716
16777216 Full           36.14159    0.01703
